date,brand,price
9/1/2021, NVIDIA ,169.99
9/1/2021, ASUS ,1725
9/1/2021, GIGABYTE ,750
9/1/2021, NVIDIA ,174.99
9/1/2021, ASUS ,659.99
9/1/2021, MSI ,280
9/1/2021, NVIDIA ,28
9/1/2021, EVGA ,249.99
9/1/2021, PNY ,139.5
9/1/2021, Graphics ,228.5
9/1/2021,,199
9/1/2021, MSI ,405
9/1/2021, ASUS ,300
9/1/2021, PNY ,149.97
9/1/2021, PNY ,109.99
9/1/2021, ASUS ,259.99
9/1/2021, NVIDIA ,305
9/1/2021, EVGA ,320
9/1/2021, MSI ,279.95
9/1/2021, ZOTAC ,199.97
9/1/2021, ASUS ,399.95
9/1/2021, NVIDIA ,699.99
9/1/2021, ASUS ,118.01
9/1/2021, EVGA ,850
9/1/2021, ASUS ,449
9/1/2021, MSI ,85
9/1/2021, ASUS ,1699.99
9/1/2021, ASUS ,455
9/1/2021, MSI ,1299.99
9/1/2021, SAPPHIRE ,275
9/1/2021, NVIDIA ,99.95
9/1/2021, GIGABYTE ,550
9/1/2021, MSI ,300
9/1/2021, GIGABYTE ,949
9/1/2021, NVIDIA ,249.99
9/1/2021, NVIDIA ,1225
9/1/2021, H.I.S ,12
9/1/2021, ASUS ,405
9/1/2021, ASUS ,575
9/1/2021, EVGA ,849.99
9/1/2021,,242.28
9/1/2021, Dell ,90
9/1/2021, XFX ,165
9/1/2021,,289.95
9/1/2021,,111
9/1/2021, SAPPHIRE ,360
9/1/2021, NVIDIA ,269
9/1/2021, NVIDIA ,45
9/1/2021, ZOTAC ,219
9/1/2021, EVGA ,79.99
9/1/2021,,407.08
9/2/2021, NVIDIA ,169.99
9/2/2021, HP ,269.99
9/2/2021, ASUS ,659.99
9/2/2021, NVIDIA ,28
9/2/2021, NVIDIA ,674.99
9/2/2021, ZOTAC ,695
9/2/2021, NVIDIA ,174.99
9/2/2021, ASUS ,490
9/2/2021, ASUS ,119.97
9/2/2021, EVGA ,679.99
9/2/2021, Graphics ,228.5
9/2/2021, GIGABYTE ,750
9/2/2021, ASUS ,300
9/2/2021, ASUS ,259.99
9/2/2021, NVIDIA ,305
9/2/2021, ZOTAC ,1949
9/2/2021, MSI ,120.5
9/2/2021, ZOTAC ,728.88
9/2/2021, ASUS ,118.01
9/2/2021, EVGA ,714.99
9/2/2021, MSI ,280
9/2/2021, EVGA ,320
9/2/2021, Dell ,110.5
9/2/2021, PNY ,109.99
9/2/2021, EVGA ,850
9/2/2021, NVIDIA ,1225
9/2/2021, EVGA ,249.99
9/2/2021, NVIDIA ,1799.95
9/2/2021, Geforce ,185
9/2/2021, GIGABYTE ,217
9/2/2021,,289.95
9/2/2021, ASUS ,1725
9/2/2021, ASUS ,405
9/2/2021, EVGA ,889.95
9/2/2021, ZOTAC ,199.97
9/2/2021, MSI ,81
9/2/2021, ASUS ,575
9/2/2021, Dell ,90
9/2/2021, ASUS ,399.95
9/2/2021, ASUS ,449
9/2/2021, PNY ,149.97
9/2/2021, EVGA ,180
9/2/2021, SAPPHIRE ,275
9/2/2021, EVGA ,839.99
9/2/2021, XFX ,165
9/2/2021, EVGA ,849.99
9/2/2021, NVIDIA ,45
9/2/2021, NVIDIA ,269
9/2/2021, NVIDIA ,249.99
9/2/2021, MSI ,300
9/2/2021,,464.28
9/3/2021, NVIDIA ,169.99
9/3/2021, GIGABYTE ,1595
9/3/2021, Geforce ,200
9/3/2021, NVIDIA ,42
9/3/2021, EVGA ,1249.99
9/3/2021, Geforce ,240
9/3/2021, NVIDIA ,174.99
9/3/2021, GIGABYTE ,620
9/3/2021, EVGA ,650
9/3/2021, Geforce ,339
9/3/2021, ASUS ,300
9/3/2021, Nvida ,80
9/3/2021, Lenovo ,610.01
9/3/2021, SAPPHIRE ,279.99
9/3/2021, MSI ,439.99
9/3/2021, EVGA ,345
9/3/2021, GIGABYTE ,575
9/3/2021, EVGA ,197.5
9/3/2021, MSI ,320
9/3/2021, AMD ,790
9/3/2021, EVGA ,90
9/3/2021, NVIDIA ,1232
9/3/2021, PNY ,129
9/3/2021, EVGA ,820
9/3/2021, NVIDIA ,45
9/3/2021, ASUS ,410
9/3/2021, ZOTAC ,199.97
9/3/2021, AMD ,160.5
9/3/2021, MSI ,419
9/3/2021, EVGA ,665
9/3/2021, NVIDIA ,99.91
9/3/2021,,1525
